transcript_id,transcript_id,corpus_name,language,date,filename,target_child_name,target_child_age,target_child_sex,collection_name,pid,collection_id,corpus_id,target_child_id
20,20,English-WolfHemp,eng,6/22/89,Frogs/English-WolfHemp/06/13w6.xml,Michael,79.00162221,male,Frogs,11312/c-00020787-1,1,1,25
21,21,English-WolfHemp,eng,6/29/89,Frogs/English-WolfHemp/06/55m6.xml,Nathan,78.00160168,male,Frogs,11312/c-00020828-1,1,1,19
22,22,English-WolfHemp,eng,8/22/89,Frogs/English-WolfHemp/06/68m6.xml,Laura,78.00160168,female,Frogs,11312/c-00020840-1,1,1,26
23,23,English-WolfHemp,eng,6/20/89,Frogs/English-WolfHemp/06/57m6.xml,Jamie,76.00156061,female,Frogs,11312/c-00020831-1,1,1,44
24,24,English-WolfHemp,eng,7/18/89,Frogs/English-WolfHemp/06/19m6.xml,Andrew,79.00162221,male,Frogs,11312/c-00020793-1,1,1,34
25,25,English-WolfHemp,eng,8/21/89,Frogs/English-WolfHemp/06/76m6.xml,Sarah,76.00156061,female,Frogs,11312/c-00020843-1,1,1,78
26,26,English-WolfHemp,eng,8/22/89,Frogs/English-WolfHemp/06/90w6.xml,Jenessa,77.00158114,female,Frogs,11312/c-00020846-1,1,1,37
27,27,English-WolfHemp,eng,7/11/89,Frogs/English-WolfHemp/06/96m6.xml,Erica,75.00154007,female,Frogs,11312/c-00020852-1,1,1,40
28,28,English-WolfHemp,eng,7/6/89,Frogs/English-WolfHemp/06/98w6.xml,Elana,76.00156061,female,Frogs,11312/c-00020855-1,1,1,65
29,29,English-WolfHemp,eng,8/7/90,Frogs/English-WolfHemp/07/01w7.xml,Christopher,93.00190969,male,Frogs,11312/c-00020773-1,1,1,16
30,30,English-WolfHemp,eng,6/14/90,Frogs/English-WolfHemp/07/02m7.xml,Margaret,91.00186862,female,Frogs,11312/c-00020776-1,1,1,3
31,31,English-WolfHemp,eng,6/11/90,Frogs/English-WolfHemp/07/03m7.xml,Andrew,91.00186862,male,Frogs,11312/c-00020779-1,1,1,34
32,32,English-WolfHemp,eng,6/15/89,Frogs/English-WolfHemp/06/99w6.xml,Liam,74.00151954,male,Frogs,11312/c-00020858-1,1,1,45
33,33,English-WolfHemp,eng,6/25/90,Frogs/English-WolfHemp/07/04w7.xml,Erin,91.00186862,female,Frogs,11312/c-00020782-1,1,1,4
34,34,English-WolfHemp,eng,NA,Frogs/English-WolfHemp/07/06m7.xml,Christina,93.00190969,female,Frogs,11312/c-00020785-1,1,1,5
35,35,English-WolfHemp,eng,7/21/90,Frogs/English-WolfHemp/07/13w7.xml,Michael,90.00184809,male,Frogs,11312/c-00020788-1,1,1,25
36,36,English-WolfHemp,eng,7/10/90,Frogs/English-WolfHemp/07/19m7.xml,Andrew,91.00186862,male,Frogs,11312/c-00020794-1,1,1,34
37,37,English-WolfHemp,eng,6/19/90,Frogs/English-WolfHemp/07/14w7.xml,Alexandra,90.00184809,female,Frogs,11312/c-00020791-1,1,1,51
38,38,English-WolfHemp,eng,7/18/90,Frogs/English-WolfHemp/07/23m7.xml,Zachary,91.00186862,male,Frogs,11312/c-00020797-1,1,1,27
39,39,English-WolfHemp,eng,7/9/90,Frogs/English-WolfHemp/07/31w7.xml,John,91.00186862,male,Frogs,11312/c-00020803-1,1,1,1
40,40,English-WolfHemp,eng,6/14/90,Frogs/English-WolfHemp/07/28m7.xml,Anne,90.00184809,female,Frogs,11312/c-00020800-1,1,1,17
41,41,English-WolfHemp,eng,7/26/90,Frogs/English-WolfHemp/07/32w7.xml,Joanna,91.00186862,female,Frogs,11312/c-00020806-1,1,1,11
42,42,English-WolfHemp,eng,6/13/90,Frogs/English-WolfHemp/07/34w7.xml,Rachel,89.00182755,female,Frogs,11312/c-00020809-1,1,1,2
43,43,English-WolfHemp,eng,6/5/90,Frogs/English-WolfHemp/07/35w7.xml,Anthony,90.00184809,male,Frogs,11312/c-00020812-1,1,1,42
44,44,English-WolfHemp,eng,6/18/90,Frogs/English-WolfHemp/07/37m7.xml,Daniel,90.00184809,male,Frogs,11312/c-00020815-1,1,1,15
45,45,English-WolfHemp,eng,6/25/90,Frogs/English-WolfHemp/07/38w7.xml,Elizabeth,90.00184809,female,Frogs,11312/c-00020818-1,1,1,13
46,46,English-WolfHemp,eng,8/15/90,Frogs/English-WolfHemp/07/39w7.xml,Gregory,91.00186862,male,Frogs,11312/c-00020821-1,1,1,28
47,47,English-WolfHemp,eng,7/24/90,Frogs/English-WolfHemp/07/47m7.xml,Andrew,90.00184809,male,Frogs,11312/c-00020824-1,1,1,34
48,48,English-WolfHemp,eng,8/8/90,Frogs/English-WolfHemp/07/49w7.xml,James,91.00186862,male,Frogs,11312/c-00020826-1,1,1,32
49,49,English-WolfHemp,eng,6/4/90,Frogs/English-WolfHemp/07/55m7.xml,Nathan,88.00180702,male,Frogs,11312/c-00020829-1,1,1,19
50,50,English-WolfHemp,eng,6/1/90,Frogs/English-WolfHemp/07/66m7.xml,Christina,89.00182755,female,Frogs,11312/c-00020838-1,1,1,5
51,51,English-WolfHemp,eng,7/16/90,Frogs/English-WolfHemp/07/65m7.xml,Colin,89.00182755,male,Frogs,11312/c-00020835-1,1,1,74
52,52,English-WolfHemp,eng,6/12/90,Frogs/English-WolfHemp/07/57m7.xml,NA,NA,NA,Frogs,11312/c-00020832-1,1,1,NA
53,53,English-WolfHemp,eng,7/6/90,Frogs/English-WolfHemp/07/68m7.xml,Laura,93.00190969,female,Frogs,11312/c-00020841-1,1,1,26
54,54,English-WolfHemp,eng,8/1/90,Frogs/English-WolfHemp/07/76m7.xml,Sarah,88.00180702,female,Frogs,11312/c-00020844-1,1,1,78
55,55,English-WolfHemp,eng,6/20/90,Frogs/English-WolfHemp/07/90w7.xml,Jenessa,87.00178648,female,Frogs,11312/c-00020847-1,1,1,37
56,56,English-WolfHemp,eng,6/26/90,Frogs/English-WolfHemp/07/92m7.xml,Abigail,88.00180702,female,Frogs,11312/c-00020850-1,1,1,99
57,57,English-WolfHemp,eng,8/3/90,Frogs/English-WolfHemp/07/98w7.xml,Elana,88.00180702,female,Frogs,11312/c-00020856-1,1,1,65
58,58,English-WolfHemp,eng,6/26/90,Frogs/English-WolfHemp/07/96m7.xml,NA,NA,NA,Frogs,11312/c-00020853-1,1,1,NA
59,59,English-WolfHemp,eng,7/11/90,Frogs/English-WolfHemp/07/99w7.xml,Liam,87.00178648,male,Frogs,11312/c-00020859-1,1,1,45
60,60,English-WolfHemp,eng,8/28/91,Frogs/English-WolfHemp/08/01w8.xml,Christopher,106.0021766,male,Frogs,11312/c-00020774-1,1,1,16
61,61,English-WolfHemp,eng,8/29/91,Frogs/English-WolfHemp/08/02m8.xml,Margaret,105.0021561,female,Frogs,11312/c-00020777-1,1,1,3
62,62,English-WolfHemp,eng,7/30/90,Frogs/English-WolfHemp/08/03m8.xml,Andrew,104.0021356,male,Frogs,11312/c-00020780-1,1,1,34
63,63,English-WolfHemp,eng,NA,Frogs/English-WolfHemp/08/04w8.xml,Erin,103.002115,female,Frogs,11312/c-00020783-1,1,1,4
64,64,English-WolfHemp,eng,8/23/91,Frogs/English-WolfHemp/08/06m8.xml,Christina,105.0021561,female,Frogs,11312/c-00020786-1,1,1,5
65,65,English-WolfHemp,eng,8/21/91,Frogs/English-WolfHemp/08/13w8.xml,Michael,105.0021561,male,Frogs,11312/c-00020789-1,1,1,25
66,66,English-WolfHemp,eng,7/17/91,Frogs/English-WolfHemp/08/14w8.xml,Alexandra,103.002115,female,Frogs,11312/c-00020792-1,1,1,51
67,67,English-WolfHemp,eng,6/25/91,Frogs/English-WolfHemp/08/19m8.xml,Andrew,103.002115,male,Frogs,11312/c-00020795-1,1,1,34
68,68,English-WolfHemp,eng,7/15/91,Frogs/English-WolfHemp/08/23m8.xml,Zachary,102.0020945,male,Frogs,11312/c-00020798-1,1,1,27
69,69,English-WolfHemp,eng,7/31/91,Frogs/English-WolfHemp/08/28m8.xml,Anne,104.0021356,female,Frogs,11312/c-00020801-1,1,1,17
70,70,English-WolfHemp,eng,6/27/91,Frogs/English-WolfHemp/08/31w8.xml,John,102.0020945,male,Frogs,11312/c-00020804-1,1,1,1
71,71,English-WolfHemp,eng,8/15/91,Frogs/English-WolfHemp/08/32w8.xml,Joanna,104.0021356,female,Frogs,11312/c-00020807-1,1,1,11
72,72,English-WolfHemp,eng,6/16/91,Frogs/English-WolfHemp/08/34w8.xml,Rachel,101.002074,female,Frogs,11312/c-00020810-1,1,1,2
73,73,English-WolfHemp,eng,6/24/91,Frogs/English-WolfHemp/08/35w8.xml,Anthony,102.0020945,male,Frogs,11312/c-00020813-1,1,1,42
74,74,English-WolfHemp,eng,8/31/91,Frogs/English-WolfHemp/08/38w8.xml,Elizabeth,104.0021356,female,Frogs,11312/c-00020819-1,1,1,13
75,75,English-WolfHemp,eng,8/8/91,Frogs/English-WolfHemp/08/37m8.xml,Daniel,103.002115,male,Frogs,11312/c-00020816-1,1,1,15
76,76,English-WolfHemp,eng,7/18/91,Frogs/English-WolfHemp/08/39w8.xml,Gregory,103.002115,male,Frogs,11312/c-00020822-1,1,1,28
77,77,English-WolfHemp,eng,8/26/91,Frogs/English-WolfHemp/08/49w8.xml,James,105.0021561,male,Frogs,11312/c-00020827-1,1,1,32
78,78,English-WolfHemp,eng,6/26/91,Frogs/English-WolfHemp/08/55m8.xml,Nathan,101.002074,male,Frogs,11312/c-00020830-1,1,1,19
79,79,English-WolfHemp,eng,7/26/91,Frogs/English-WolfHemp/08/57m8.xml,Jamie,101.002074,female,Frogs,11312/c-00020833-1,1,1,44
80,80,English-WolfHemp,eng,8/22/91,Frogs/English-WolfHemp/08/65m8.xml,Colin,102.0020945,male,Frogs,11312/c-00020836-1,1,1,74
81,81,English-WolfHemp,eng,6/17/91,Frogs/English-WolfHemp/08/66m8.xml,Christina,101.002074,female,Frogs,11312/c-00020839-1,1,1,5
82,82,English-WolfHemp,eng,8/2/91,Frogs/English-WolfHemp/08/68m8.xml,Laura,101.002074,female,Frogs,11312/c-00020842-1,1,1,26
83,83,English-WolfHemp,eng,9/16/91,Frogs/English-WolfHemp/08/76m8.xml,Sarah,101.002074,female,Frogs,11312/c-00020845-1,1,1,78
84,84,English-WolfHemp,eng,9/12/91,Frogs/English-WolfHemp/08/90w8.xml,Jenessa,102.0020945,female,Frogs,11312/c-00020848-1,1,1,37
85,85,English-WolfHemp,eng,8/16/91,Frogs/English-WolfHemp/08/92m8.xml,Abigail,101.002074,female,Frogs,11312/c-00020851-1,1,1,99
86,86,English-WolfHemp,eng,8/2/89,Frogs/English-WolfHemp/08/92m6.xml,Abigail,77.00158114,female,Frogs,11312/c-00020849-1,1,1,99
87,87,English-WolfHemp,eng,7/24/91,Frogs/English-WolfHemp/08/96m8.xml,Erica,100.0020534,female,Frogs,11312/c-00020854-1,1,1,40
88,88,English-WolfHemp,eng,7/25/91,Frogs/English-WolfHemp/08/98w8.xml,Elana,99.0020329,female,Frogs,11312/c-00020857-1,1,1,65
90,90,English-WolfHemp,eng,6/20/91,Frogs/English-WolfHemp/08/99w8.xml,Liam,98.00201236,male,Frogs,11312/c-00020860-1,1,1,45
1143,1143,English-Slobin,eng,NA,Frogs/English-Slobin/03/03a.xml,NA,37.00075977,NA,Frogs,11312/c-00020713-1,1,13,957
1146,1146,English-Slobin,eng,NA,Frogs/English-Slobin/03/03b.xml,NA,40.00082137,NA,Frogs,11312/c-00020714-1,1,13,957
1147,1147,English-Slobin,eng,NA,Frogs/English-Slobin/03/03c.xml,NA,40.00082137,NA,Frogs,11312/c-00020715-1,1,13,957
1148,1148,English-Slobin,eng,NA,Frogs/English-Slobin/03/03e.xml,NA,44.00090351,NA,Frogs,11312/c-00020717-1,1,13,957
1149,1149,English-Slobin,eng,NA,Frogs/English-Slobin/03/03d.xml,NA,41.00084191,NA,Frogs,11312/c-00020716-1,1,13,957
1150,1150,English-Slobin,eng,NA,Frogs/English-Slobin/03/03f.xml,NA,45.00092404,NA,Frogs,11312/c-00020718-1,1,13,957
1151,1151,English-Slobin,eng,NA,Frogs/English-Slobin/03/03g.xml,NA,45.00092404,NA,Frogs,11312/c-00020719-1,1,13,957
1152,1152,English-Slobin,eng,NA,Frogs/English-Slobin/03/03h.xml,NA,45.00092404,NA,Frogs,11312/c-00020720-1,1,13,957
1153,1153,English-Slobin,eng,NA,Frogs/English-Slobin/03/03i.xml,NA,45.00092404,NA,Frogs,11312/c-00020721-1,1,13,957
1154,1154,English-Slobin,eng,NA,Frogs/English-Slobin/03/03k.xml,NA,46.00094458,NA,Frogs,11312/c-00020723-1,1,13,957
1155,1155,English-Slobin,eng,NA,Frogs/English-Slobin/03/03j.xml,NA,46.00094458,NA,Frogs,11312/c-00020722-1,1,13,957
1156,1156,English-Slobin,eng,NA,Frogs/English-Slobin/03/03l.xml,NA,47.00096511,NA,Frogs,11312/c-00020724-1,1,13,957
1157,1157,English-Slobin,eng,NA,Frogs/English-Slobin/04/04a.xml,NA,47.00096511,NA,Frogs,11312/c-00020725-1,1,13,957
1158,1158,English-Slobin,eng,NA,Frogs/English-Slobin/04/04b.xml,NA,52.00106778,NA,Frogs,11312/c-00020726-1,1,13,957
1159,1159,English-Slobin,eng,NA,Frogs/English-Slobin/04/04c.xml,NA,54.00110885,NA,Frogs,11312/c-00020727-1,1,13,957
1160,1160,English-Slobin,eng,NA,Frogs/English-Slobin/04/04d.xml,NA,54.00110885,NA,Frogs,11312/c-00020728-1,1,13,957
1161,1161,English-Slobin,eng,NA,Frogs/English-Slobin/04/04e.xml,NA,55.00112939,NA,Frogs,11312/c-00020729-1,1,13,957
1162,1162,English-Slobin,eng,NA,Frogs/English-Slobin/04/04g.xml,NA,55.00112939,NA,Frogs,11312/c-00020731-1,1,13,957
1163,1163,English-Slobin,eng,NA,Frogs/English-Slobin/04/04f.xml,NA,55.00112939,NA,Frogs,11312/c-00020730-1,1,13,957
1164,1164,English-Slobin,eng,NA,Frogs/English-Slobin/04/04h.xml,NA,56.00114992,NA,Frogs,11312/c-00020732-1,1,13,957
1165,1165,English-Slobin,eng,NA,Frogs/English-Slobin/04/04i.xml,NA,57.00117046,NA,Frogs,11312/c-00020733-1,1,13,957
1166,1166,English-Slobin,eng,NA,Frogs/English-Slobin/04/04j.xml,NA,57.00117046,NA,Frogs,11312/c-00020734-1,1,13,957
1167,1167,English-Slobin,eng,NA,Frogs/English-Slobin/04/04k.xml,NA,58.00119099,NA,Frogs,11312/c-00020735-1,1,13,957
1168,1168,English-Slobin,eng,NA,Frogs/English-Slobin/04/04l.xml,NA,59.00121152,NA,Frogs,11312/c-00020736-1,1,13,957
1169,1169,English-Slobin,eng,NA,Frogs/English-Slobin/05/05b.xml,NA,62.00127313,NA,Frogs,11312/c-00020738-1,1,13,957
1170,1170,English-Slobin,eng,NA,Frogs/English-Slobin/05/05a.xml,NA,61.00125259,NA,Frogs,11312/c-00020737-1,1,13,957
1171,1171,English-Slobin,eng,NA,Frogs/English-Slobin/05/05c.xml,NA,63.00129366,NA,Frogs,11312/c-00020739-1,1,13,957
1172,1172,English-Slobin,eng,NA,Frogs/English-Slobin/05/05d.xml,NA,66.00135526,NA,Frogs,11312/c-00020740-1,1,13,957
1173,1173,English-Slobin,eng,NA,Frogs/English-Slobin/05/05e.xml,NA,68.00139633,NA,Frogs,11312/c-00020741-1,1,13,957
1174,1174,English-Slobin,eng,NA,Frogs/English-Slobin/05/05f.xml,NA,69.00141687,NA,Frogs,11312/c-00020742-1,1,13,957
1175,1175,English-Slobin,eng,NA,Frogs/English-Slobin/05/05g.xml,NA,70.0014374,NA,Frogs,11312/c-00020743-1,1,13,957
1176,1176,English-Slobin,eng,NA,Frogs/English-Slobin/05/05h.xml,NA,70.0014374,NA,Frogs,11312/c-00020744-1,1,13,957
1177,1177,English-Slobin,eng,NA,Frogs/English-Slobin/05/05i.xml,NA,70.0014374,NA,Frogs,11312/c-00020745-1,1,13,957
1178,1178,English-Slobin,eng,NA,Frogs/English-Slobin/05/05j.xml,NA,71.00145794,NA,Frogs,11312/c-00020746-1,1,13,957
1179,1179,English-Slobin,eng,NA,Frogs/English-Slobin/05/05k.xml,NA,71.00145794,NA,Frogs,11312/c-00020747-1,1,13,957
1180,1180,English-Slobin,eng,NA,Frogs/English-Slobin/09/09b.xml,NA,111.0022793,NA,Frogs,11312/c-00020749-1,1,13,957
1181,1181,English-Slobin,eng,NA,Frogs/English-Slobin/09/09a.xml,NA,109.0022382,NA,Frogs,11312/c-00020748-1,1,13,957
1182,1182,English-Slobin,eng,NA,Frogs/English-Slobin/09/09c.xml,NA,114.0023409,NA,Frogs,11312/c-00020750-1,1,13,957
1183,1183,English-Slobin,eng,NA,Frogs/English-Slobin/09/09g.xml,NA,117.0024025,NA,Frogs,11312/c-00020754-1,1,13,957
1184,1184,English-Slobin,eng,NA,Frogs/English-Slobin/09/09f.xml,NA,116.002382,NA,Frogs,11312/c-00020753-1,1,13,957
1185,1185,English-Slobin,eng,NA,Frogs/English-Slobin/09/09e.xml,NA,115.0023614,NA,Frogs,11312/c-00020752-1,1,13,957
1186,1186,English-Slobin,eng,NA,Frogs/English-Slobin/09/09h.xml,NA,117.0024025,NA,Frogs,11312/c-00020755-1,1,13,957
1187,1187,English-Slobin,eng,NA,Frogs/English-Slobin/09/09d.xml,NA,114.0023409,NA,Frogs,11312/c-00020751-1,1,13,957
1188,1188,English-Slobin,eng,NA,Frogs/English-Slobin/09/09i.xml,NA,118.002423,NA,Frogs,11312/c-00020756-1,1,13,957
1189,1189,English-Slobin,eng,NA,Frogs/English-Slobin/09/09k.xml,NA,119.0024436,NA,Frogs,11312/c-00020758-1,1,13,957
1190,1190,English-Slobin,eng,NA,Frogs/English-Slobin/09/09j.xml,NA,119.0024436,NA,Frogs,11312/c-00020757-1,1,13,957
1191,1191,English-Slobin,eng,NA,Frogs/English-Slobin/09/09l.xml,NA,119.0024436,NA,Frogs,11312/c-00020759-1,1,13,957
1192,1192,English-Slobin,eng,NA,Frogs/English-Slobin/20/20a.xml,NA,240.0049282,NA,Frogs,11312/c-00020760-1,1,13,957
1193,1193,English-Slobin,eng,NA,Frogs/English-Slobin/20/20b.xml,NA,240.0049282,NA,Frogs,11312/c-00020761-1,1,13,957
1194,1194,English-Slobin,eng,NA,Frogs/English-Slobin/20/20c.xml,NA,240.0049282,NA,Frogs,11312/c-00020762-1,1,13,957
1195,1195,English-Slobin,eng,NA,Frogs/English-Slobin/20/20d.xml,NA,240.0049282,NA,Frogs,11312/c-00020763-1,1,13,957
1196,1196,English-Slobin,eng,NA,Frogs/English-Slobin/20/20f.xml,NA,240.0049282,NA,Frogs,11312/c-00020765-1,1,13,957
1197,1197,English-Slobin,eng,NA,Frogs/English-Slobin/20/20e.xml,NA,240.0049282,NA,Frogs,11312/c-00020764-1,1,13,957
1198,1198,English-Slobin,eng,NA,Frogs/English-Slobin/20/20g.xml,NA,240.0049282,NA,Frogs,11312/c-00020766-1,1,13,957
1199,1199,English-Slobin,eng,NA,Frogs/English-Slobin/20/20h.xml,NA,240.0049282,NA,Frogs,11312/c-00020767-1,1,13,957
1200,1200,English-Slobin,eng,NA,Frogs/English-Slobin/20/20i.xml,NA,240.0049282,NA,Frogs,11312/c-00020768-1,1,13,957
1202,1202,English-Slobin,eng,NA,Frogs/English-Slobin/20/20l.xml,NA,240.0049282,NA,Frogs,11312/c-00020771-1,1,13,957
1204,1204,English-Slobin,eng,NA,Frogs/English-Slobin/20/20k.xml,NA,240.0049282,NA,Frogs,11312/c-00020770-1,1,13,957
1205,1205,English-Slobin,eng,NA,Frogs/English-Slobin/20/20j.xml,NA,240.0049282,NA,Frogs,11312/c-00020769-1,1,13,957
1268,1268,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11121311.xml,NA,94.00193022,male,Frogs,11312/c-00020448-1,1,16,1007
1269,1269,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11121381.xml,NA,94.00193022,male,Frogs,11312/c-00020449-1,1,16,1007
1270,1270,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11121422.xml,NA,97.00199183,male,Frogs,11312/c-00020450-1,1,16,1007
1271,1271,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11121482.xml,NA,92.00188916,male,Frogs,11312/c-00020451-1,1,16,1007
1272,1272,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11121510.xml,NA,96.00197129,male,Frogs,11312/c-00020452-1,1,16,1007
1273,1273,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11122018.xml,NA,93.00190969,male,Frogs,11312/c-00020453-1,1,16,1007
1274,1274,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11122019.xml,NA,99.0020329,male,Frogs,11312/c-00020454-1,1,16,1007
1275,1275,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11122020.xml,NA,103.002115,male,Frogs,11312/c-00020455-1,1,16,1007
1276,1276,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11122021.xml,NA,94.00193022,male,Frogs,11312/c-00020456-1,1,16,1007
1277,1277,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11122117.xml,NA,97.00199183,male,Frogs,11312/c-00020458-1,1,16,1007
1278,1278,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11122041.xml,NA,92.00188916,male,Frogs,11312/c-00020457-1,1,16,1007
1279,1279,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11221306.xml,NA,90.00184809,male,Frogs,11312/c-00020459-1,1,16,1007
1280,1280,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11221366.xml,NA,96.00197129,male,Frogs,11312/c-00020460-1,1,16,1007
1281,1281,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11221398.xml,NA,88.00180702,male,Frogs,11312/c-00020461-1,1,16,1007
1282,1282,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11221511.xml,NA,98.00201236,male,Frogs,11312/c-00020463-1,1,16,1007
1283,1283,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11221425.xml,NA,99.0020329,male,Frogs,11312/c-00020462-1,1,16,1007
1284,1284,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11222148.xml,NA,87.00178648,male,Frogs,11312/c-00020465-1,1,16,1007
1285,1285,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11222078.xml,NA,89.00182755,male,Frogs,11312/c-00020464-1,1,16,1007
1286,1286,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11222222.xml,NA,98.00201236,male,Frogs,11312/c-00020466-1,1,16,1007
1287,1287,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11222306.xml,NA,93.00190969,male,Frogs,11312/c-00020468-1,1,16,1007
1288,1288,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11222304.xml,NA,100.0020534,male,Frogs,11312/c-00020467-1,1,16,1007
1289,1289,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12121397.xml,NA,90.00184809,male,Frogs,11312/c-00020470-1,1,16,1007
1290,1290,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/11222307.xml,NA,94.00193022,male,Frogs,11312/c-00020469-1,1,16,1007
1291,1291,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122010.xml,NA,94.00193022,male,Frogs,11312/c-00020471-1,1,16,1007
1292,1292,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122022.xml,NA,95.00195076,male,Frogs,11312/c-00020472-1,1,16,1007
1293,1293,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122026.xml,NA,100.0020534,male,Frogs,11312/c-00020473-1,1,16,1007
1294,1294,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122132.xml,NA,94.00193022,male,Frogs,11312/c-00020474-1,1,16,1007
1295,1295,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122139.xml,NA,88.00180702,male,Frogs,11312/c-00020475-1,1,16,1007
1296,1296,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122227.xml,NA,101.002074,male,Frogs,11312/c-00020477-1,1,16,1007
1297,1297,English-MiamiBiling,eng,NA,Frogs/English-MiamiBiling/bleng2/12122141.xml,NA,92.00188916,male,Frogs,11312/c-00020476-1,1,16,1007
